Class,Left_Hip_X,Left_Hip_Y,Left_Hip_Z,Right_Hip_X,Right_Hip_Y,Right_Hip_Z,Left_Shoulder_X,Left_Shoulder_Y,Left_Shoulder_Z,Right_Shoulder_X,Right_Shoulder_Y,Right_Shoulder_Z,Nose_X,Nose_Y,Nose_Z
Class1,0.516480982,0.448463559,0.102476768,0.387659788,0.472339481,-0.102445073,0.59303993,0.261698425,-0.291028559,0.391089916,0.255135536,-0.553384244,0.531696796,0.284871846,-0.642596543
Class1,0.399159968,0.715195894,0.162149161,0.408623487,0.713184774,-0.161931485,0.481939435,0.307212025,0.290423036,0.493842006,0.294236004,-0.254837394,0.602798879,0.259157062,0.003431965
Class1,0.435028851,0.708025455,0.158865601,0.438807666,0.720089972,-0.158617824,0.489636332,0.315846264,0.251301229,0.493803501,0.302014947,-0.255841285,0.597528577,0.261124551,-0.047050931
Class1,0.43536526,0.72033608,0.161934927,0.444473386,0.729341626,-0.161691815,0.486173689,0.318748355,0.23567602,0.4944444,0.31087783,-0.277362823,0.605615318,0.2669819,-0.041458145
Class1,0.430253386,0.715378046,0.161209896,0.451424718,0.724661708,-0.161014363,0.477861464,0.316657603,0.234103829,0.498280466,0.313907892,-0.278446615,0.602938056,0.267955333,-0.026490973
Class1,0.425118655,0.715081453,0.157063514,0.453850091,0.726291001,-0.156919733,0.474259704,0.314582944,0.221185386,0.499383867,0.315998852,-0.278132379,0.60084033,0.272236049,-0.035792187
Class1,0.425918907,0.719890654,0.154810011,0.462038934,0.726713419,-0.154768229,0.474904329,0.316688001,0.217581227,0.497455239,0.317477643,-0.275304824,0.603284836,0.27269417,-0.044428825
Class1,0.423498124,0.722708404,0.152942553,0.462320179,0.726221979,-0.152965456,0.470879912,0.31831795,0.212739527,0.503489614,0.320589602,-0.274917871,0.604304731,0.279295385,-0.023966305
Class1,0.425520599,0.723469019,0.15457502,0.46072945,0.724103093,-0.154574051,0.47356078,0.318397492,0.224198714,0.502904952,0.319093198,-0.275033265,0.604689479,0.281377405,-0.017876362
Class1,0.426314354,0.724348783,0.156611487,0.460176885,0.725866556,-0.156581834,0.474481136,0.318550497,0.228518337,0.503606141,0.319630057,-0.276914328,0.605520666,0.284792662,-0.011814559
Class1,0.426305503,0.722431719,0.158398286,0.459923357,0.723319232,-0.158369794,0.47503832,0.318085998,0.224787161,0.503690481,0.318611503,-0.281990379,0.604913175,0.285334021,-0.016038777
Class1,0.427233428,0.720391273,0.15965268,0.458492428,0.721833706,-0.159616634,0.476615429,0.317935199,0.227191389,0.503941476,0.317981243,-0.283313364,0.606397331,0.287595183,-0.009650692
Class1,0.42665121,0.720801353,0.159464866,0.457294405,0.723068058,-0.159419686,0.476532936,0.317744136,0.229279339,0.504352093,0.317918897,-0.28494364,0.606373668,0.289320111,-0.009182589
Class1,0.425749719,0.721244633,0.159573451,0.4573704,0.723080337,-0.159540802,0.475500584,0.317942888,0.233314335,0.505637348,0.318629086,-0.284887493,0.604883552,0.292832822,-0.001794523
Class1,0.424961954,0.721501827,0.159234986,0.457314491,0.72313112,-0.159215271,0.474607348,0.318112254,0.230130672,0.506280959,0.319614142,-0.285021424,0.60395503,0.294382721,-0.003271306
Class1,0.424361885,0.722510934,0.158874601,0.456335574,0.724041641,-0.158856794,0.474996537,0.318419516,0.225412533,0.506861031,0.320692092,-0.28499794,0.604096293,0.298888385,-0.009244854
Class1,0.42374745,0.723236442,0.158394605,0.455953598,0.724112868,-0.158376902,0.475319803,0.318526804,0.223996162,0.506999195,0.32117933,-0.282809317,0.604150355,0.300342888,-0.010368635
Class1,0.423423916,0.722586513,0.158115432,0.455188185,0.724251449,-0.158102468,0.476506203,0.319013953,0.222896427,0.507349432,0.322225988,-0.28143248,0.605539262,0.302363098,-0.012906742
Class1,0.423161626,0.722018361,0.157987103,0.454311758,0.7241835,-0.157966554,0.47676003,0.319182009,0.223408982,0.507025838,0.322557181,-0.281102657,0.605632842,0.30375734,-0.01282573
Class1,0.423802227,0.721797168,0.158333123,0.453721106,0.724718213,-0.158266768,0.477818578,0.319804072,0.222350389,0.505935013,0.323288918,-0.284634382,0.60660255,0.309037119,-0.013112347
Class1,0.424241453,0.721761405,0.158714846,0.453359485,0.724795341,-0.15861918,0.478698403,0.320379019,0.223999888,0.505546749,0.323556632,-0.284579545,0.607194602,0.311087191,-0.013459163
Class1,0.424703151,0.721345544,0.15896298,0.453226119,0.72470957,-0.158848122,0.478870392,0.32032907,0.223373652,0.505634665,0.323688358,-0.284177363,0.606475532,0.315428287,-0.013696943
Class1,0.424998879,0.721069932,0.159384534,0.45317629,0.724650323,-0.159249634,0.479074836,0.32028839,0.224537313,0.505835712,0.323725462,-0.282762438,0.605977774,0.317517787,-0.012930672
Class1,0.425100327,0.721033335,0.159328997,0.453221232,0.725114942,-0.159194484,0.479098469,0.320261538,0.224306241,0.506406844,0.324182093,-0.282531202,0.606055379,0.31994155,-0.010141592
Class1,0.42528826,0.721347868,0.159527302,0.453179687,0.725439191,-0.159382239,0.479459465,0.320244104,0.224110872,0.50650388,0.324433774,-0.283016205,0.606195152,0.321900308,-0.010381501
Class1,0.425439209,0.72146529,0.15953289,0.453104794,0.725793719,-0.159389183,0.479605049,0.320474774,0.223439112,0.506386518,0.325408816,-0.285407811,0.607560277,0.323676974,-0.010804804
Class1,0.425413579,0.721391201,0.159510627,0.453071654,0.725797534,-0.159367561,0.479573131,0.320461065,0.222134829,0.506449997,0.326314807,-0.286255479,0.607757747,0.325124204,-0.010899167
Class1,0.42538479,0.721338153,0.159531906,0.453034371,0.725734711,-0.159389302,0.479511797,0.320472986,0.220508426,0.506508172,0.326423526,-0.286421955,0.607598245,0.329082608,-0.010642765
Class1,0.425357729,0.72133857,0.159561291,0.453007847,0.725682497,-0.159419149,0.479450732,0.320558071,0.219707146,0.506515265,0.326489031,-0.286637187,0.607465148,0.330993086,-0.010686725
Class1,0.425340384,0.721304417,0.159574434,0.45296821,0.72561866,-0.159434959,0.479401737,0.320598513,0.217294529,0.506619513,0.326527923,-0.286750317,0.60731113,0.333710551,-0.010457949
Class1,0.425325871,0.721277356,0.159567341,0.452928662,0.725494206,-0.159428328,0.479364306,0.320645422,0.215774819,0.506656349,0.326546103,-0.286740005,0.607168436,0.334987223,-0.010380496
